,cust_id,sex,area,birthyr,hh_income,age,marital,ranseq,signup_date
0,B100047771,F,inchon,1997,43000,24,固去,0,2018-02-17 11:11:27.243860
1,B100060077,F,seoul,1996,26000,25,固去,1,2018-05-14 11:11:27.243860
2,B100048415,F,seoul,1991,41000,30,固去,2,2016-09-30 11:11:27.243860
3,B100023217,M,gyunggi,1981,50000,40,扁去,3,2016-05-30 11:11:27.243860
4,B100057806,F,gyunggi,1990,68000,31,固去,4,2017-04-08 11:11:27.243860
5,B100023836,F,seoul,1998,46000,23,固去,5,2019-10-06 11:11:27.243860
6,B100034706,F,gyunggi,1991,43000,30,固去,6,2019-05-26 11:11:27.243860
7,B100030088,F,gyunggi,1993,38000,28,固去,7,2019-02-27 11:11:27.243860
8,B100052441,F,seoul,1963,76000,58,扁去,8,2016-07-16 11:11:27.243860
9,B100044599,F,seoul,1986,26000,35,扁去,9,2016-10-22 11:11:27.243860
10,B100088599,F,inchon,1963,63000,58,扁去,10,2017-10-14 11:11:27.243860
11,B100018400,F,seoul,1996,71000,25,固去,11,2017-02-14 11:11:27.243860
12,B100057707,F,inchon,1963,23000,58,扁去,12,2019-03-16 11:11:27.243860
13,B100085061,F,inchon,1995,73000,26,固去,13,2017-06-04 11:11:27.243860
14,B100095442,M,seoul,1992,63000,29,固去,14,2019-04-23 11:11:27.243860
15,B100073307,M,seoul,1980,56000,41,扁去,15,2018-08-02 11:11:27.243860
16,B100046703,M,seoul,1992,68000,29,固去,16,2018-04-21 11:11:27.243860
17,B100013699,M,gangwon,1980,53000,41,扁去,17,2019-02-17 11:11:27.243860
18,B100086987,F,gyunggi,1974,51000,47,扁去,18,2017-01-02 11:11:27.243860
19,B100072881,F,seoul,1997,26000,24,固去,19,2017-03-13 11:11:27.243860
20,B100067885,F,seoul,1983,54000,38,扁去,20,2016-07-25 11:11:27.243860
21,B100098004,M,gyunggi,1982,85000,39,扁去,21,2016-09-13 11:11:27.243860
22,B100068685,F,seoul,1967,86000,54,扁去,22,2019-04-24 11:11:27.243860
23,B100045076,M,gyunggi,1990,50000,31,扁去,23,2019-09-29 11:11:27.243860
24,B100080603,F,gyunggi,1975,53000,46,扁去,24,2018-03-01 11:11:27.243860
25,B100038912,M,gyunggi,1989,70000,32,固去,25,2016-07-08 11:11:27.243860
26,B100036183,F,inchon,1978,53000,43,扁去,26,2019-07-26 11:11:27.243860
27,B100060978,F,seoul,1984,56000,37,扁去,27,2016-09-02 11:11:27.243860
28,B100054726,F,gyunggi,1990,48000,31,固去,28,2020-03-23 11:11:27.243860
29,B100047675,F,inchon,1985,48000,36,扁去,29,2016-12-31 11:11:27.243860
30,B100076024,M,gyunggi,1989,50000,32,固去,30,2018-10-21 11:11:27.243860
31,B100069210,F,gyunggi,1995,83000,26,固去,31,2019-01-10 11:11:27.243860
32,B100041412,F,gyunggi,1988,23000,33,固去,32,2019-07-07 11:11:27.243860
33,B100047929,F,gyunggi,1960,73000,61,扁去,33,2018-11-20 11:11:27.243860
34,B100048512,M,seoul,1983,28000,38,扁去,34,2019-01-19 11:11:27.243860
35,B100059998,F,seoul,1979,26000,42,扁去,35,2018-11-30 11:11:27.243860
36,B100097663,M,gyunggi,1988,25000,33,扁去,36,2016-04-11 11:11:27.243860
37,B100002138,M,gyunggi,1991,50000,30,固去,37,2016-03-17 11:11:27.243860
38,B100092199,F,seoul,1995,56000,26,固去,38,2016-06-07 11:11:27.243860
39,B100049582,M,gyunggi,1981,70000,40,扁去,39,2016-02-04 11:11:27.243860
40,B100064211,F,inchon,1960,83000,61,扁去,40,2019-10-30 11:11:27.243860
41,B100044624,F,gangwon,1975,23000,46,扁去,41,2019-10-22 11:11:27.243860
42,B100039147,M,seoul,1969,88000,52,扁去,42,2018-03-31 11:11:27.243860
43,B100097350,M,gyunggi,1992,45000,29,固去,43,2016-12-30 11:11:27.243860
44,B100009643,F,inchon,1985,63000,36,扁去,44,2019-11-14 11:11:27.243860
45,B100081809,F,gyunggi,1995,73000,26,固去,45,2017-12-17 11:11:27.243860
46,B100052259,M,seoul,1996,23000,25,固去,46,2017-05-04 11:11:27.243860
47,B100019698,F,gyunggi,1990,38000,31,扁去,47,2018-09-26 11:11:27.243860
48,B100086826,F,gyunggi,1991,38000,30,固去,48,2019-08-14 11:11:27.243860
49,B100082042,M,gyunggi,1983,55000,38,扁去,49,2017-08-12 11:11:27.243860
50,B100034956,F,gyunggi,1992,78000,29,固去,50,2018-07-06 11:11:27.243860
51,B100028083,M,seoul,1995,68000,26,固去,51,2019-04-11 11:11:27.243860
52,B100066051,M,seoul,1988,53000,33,固去,52,2017-11-14 11:11:27.243860
53,B100051783,F,seoul,1988,26000,33,扁去,53,2020-01-15 11:11:27.243860
54,B100069619,M,inchon,1971,65000,50,扁去,54,2016-02-06 11:11:27.243860
55,B100081538,M,inchon,1994,45000,27,固去,55,2019-10-26 11:11:27.243860
56,B100092166,F,gyunggi,1983,43000,38,扁去,56,2019-07-17 11:11:27.243860
57,B100084770,M,inchon,1984,53000,37,扁去,57,2018-07-25 11:11:27.243860
58,B100014876,F,gyunggi,1980,23000,41,扁去,58,2019-05-27 11:11:27.243860
59,B100041289,M,seoul,1990,63000,31,扁去,59,2018-02-06 11:11:27.243860
60,B100077191,M,seoul,1983,73000,38,扁去,60,2019-04-10 11:11:27.243860
61,B100050928,M,gyunggi,1982,25000,39,扁去,61,2016-04-11 11:11:27.243860
62,B100069691,F,seoul,1988,26000,33,扁去,62,2016-01-08 11:11:27.243860
63,B100031306,M,seoul,1989,73000,32,固去,63,2019-05-22 11:11:27.243860
64,B100087397,M,gyunggi,1988,85000,33,固去,64,2019-09-23 11:11:27.243860
65,B100028051,M,seoul,1982,78000,39,固去,65,2017-11-30 11:11:27.243860
66,B100068825,M,seoul,1981,73000,40,扁去,66,2017-12-27 11:11:27.243860
67,B100073903,F,inchon,1978,23000,43,扁去,67,2018-03-20 11:11:27.243860
68,B100049004,M,gyunggi,1989,70000,32,固去,68,2017-12-29 11:11:27.243860
69,B100047463,M,seoul,1980,68000,41,扁去,69,2017-11-04 11:11:27.243860
70,B100001541,F,inchon,1994,53000,27,固去,70,2017-12-20 11:11:27.243860
71,B100087410,F,gyunggi,1985,68000,36,扁去,71,2019-08-09 11:11:27.243860
72,B100092518,F,inchon,1966,51000,55,固去,72,2019-03-02 11:11:27.243860
73,B100048608,M,seoul,1981,53000,40,扁去,73,2017-01-17 11:11:27.243860
74,B100020985,F,gyunggi,1992,63000,29,固去,74,2018-08-21 11:11:27.243860
75,B100014746,M,gyunggi,1977,70000,44,扁去,75,2018-07-13 11:11:27.243860
